,Player,Squad,Pos,xG_x,Cmp,Att_x,Cmp%,TotDist,PrgDist,Sh,SoT,SoT%,xG_y,Succ,Att_y,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Int,Clr,Err,Annual Wages,PSxG
0,Luis Abram,Granada,DF,0.2,191,226,84.5,3666,1177,2,0,0.0,0.2,0,0,6,3,3,3,0,6,5,37,1,900000.0,0
1,Marcos Acuña,Sevilla,DF,1.5,1543,1963,78.6,29328,10206,16,5,31.3,1.5,44,66,50,29,27,14,9,22,14,25,1,2840000.0,0
2,Martin Agirregabiria,Alavés,DF,0.2,547,792,69.1,9008,4537,4,0,0.0,0.2,14,19,34,22,17,11,6,20,25,38,0,350000.0,0
3,Julen Agirrezabala,Athletic Club,GK,0.0,62,82,75.6,1721,1230,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,580000.0,0
4,Sergio Agüero,Barcelona,FW,1.2,30,42,71.4,396,45,6,1,16.7,1.2,1,2,1,1,0,0,1,0,0,0,0,10420000.0,0
5,Joseph Aidoo,Celta Vigo,DF,0.5,1270,1567,81.0,26020,8332,6,1,16.7,0.5,9,11,39,26,28,10,1,23,38,96,3,1950000.0,0
6,Carlos Akapo,Cádiz,DF,0.5,611,832,73.4,10222,3920,10,1,10.0,0.5,12,21,43,31,26,15,2,26,51,61,0,450000.0,0
7,Paul Akouokou,Betis,MF,0.1,284,325,87.4,4724,1363,2,0,0.0,0.1,6,8,14,9,5,7,2,6,11,6,0,510000.0,0
8,David Alaba,Real Madrid,DF,1.7,1788,1968,90.9,29585,10903,21,7,33.3,1.7,4,10,23,13,15,6,2,26,22,70,1,22500000.0,0
9,Tomás Alarcón,Cádiz,MF,1.2,398,572,69.6,7977,2385,15,2,13.3,1.2,4,8,31,20,17,10,4,19,30,31,0,830000.0,0
10,Jordi Alba,Barcelona,DF,1.8,2334,2795,83.5,36392,12699,31,6,19.4,1.8,6,22,47,34,12,26,9,26,33,41,1,20830000.0,0
11,Raúl Albiol,Villarreal,DF,0.5,1339,1560,85.8,28053,9682,5,1,20.0,0.5,3,4,26,15,20,5,1,24,21,126,1,4790000.0,0
12,Paco Alcácer,Villarreal,FW,3.3,123,175,70.3,1468,202,18,7,38.9,3.3,5,10,9,3,2,4,3,7,6,1,0,5210000.0,0
13,Rubén Alcaraz,Cádiz,MF,1.6,556,667,83.4,10541,3267,23,6,26.1,1.6,11,17,41,20,14,24,3,10,13,14,0,770000.0,0
14,Omar Alderete,Valencia,DF,0.9,580,961,60.4,13798,6806,18,5,27.8,0.9,13,14,53,34,34,17,2,30,35,153,0,1200000.0,0
15,Iván Alejo,Cádiz,MF,1.3,193,329,58.7,3129,1194,12,4,33.3,1.3,15,43,33,15,21,10,2,12,8,17,0,470000.0,0
