Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Barcelona,33,€ 4682115 (£ 3925993 $4771599),€ 243470000 (£ 204151634 $248123125),100%
2,Real Madrid,32,€ 3949904 (£ 3312027 $4025393),€ 205395000 (£ 172225426 $209320446),100%
3,Atlético Madrid,36,€ 1895154 (£ 1589102 $1931373),€ 98548000 (£ 82633324 $100431417),100%
4,Sevilla,33,€ 1318865 (£ 1105880 $1344071),€ 68581000 (£ 57505743 $69891700),100%
5,Valencia,30,€ 1168827 (£ 980071 $1191165),€ 60779000 (£ 50963701 $61940590),100%
6,Celta Vigo,65,€ 809442 (£ 678724 $824912),€ 42091000 (£ 35293656 $42895429),100%
7,Real Sociedad,30,€ 798365 (£ 669436 $813623),€ 41515000 (£ 34810672 $42308420),100%
8,Athletic Club,33,€ 760712 (£ 637863 $775250),€ 39557000 (£ 33168876 $40313004),100%
9,Villarreal,40,€ 626654 (£ 525455 $638630),€ 32586000 (£ 27323636 $33208772),100%
10,Espanyol,29,€ 595058 (£ 498961 $606430),€ 30943000 (£ 25945961 $31534373),100%
11,Levante,37,€ 588731 (£ 493656 $599982),€ 30614000 (£ 25670098 $31199086),100%
12,Málaga,40,€ 480231 (£ 402678 $489409),€ 24972000 (£ 20939231 $25449261),100%
13,Betis,31,€ 477904 (£ 400726 $487037),€ 24851000 (£ 20837775 $25325944),100%
14,La Coruña,36,€ 404981 (£ 339580 $412721),€ 21059000 (£ 17658147 $21461472),100%
15,Las Palmas,38,€ 378923 (£ 317730 $386165),€ 19704000 (£ 16521970 $20080579),100%
16,Eibar,33,€ 348038 (£ 291833 $354690),€ 18098000 (£ 15175325 $18443882),100%
17,Alavés,33,€ 301769 (£ 253036 $307537),€ 15692000 (£ 13157875 $15991901),100%
18,Getafe,36,€ 270423 (£ 226752 $275591),€ 14062000 (£ 11791104 $14330747),100%
19,Girona,30,€ 260654 (£ 218560 $265635),€ 13554000 (£ 11365144 $13813041),100%
