Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Gareth Bale,wls WAL,FW,Real Madrid,32,€ 653846 (£ 548255 $666342),€ 34000000 (£ 28509285 $34649798),,a58bb1e1
2,Eden Hazard,be BEL,FW,Real Madrid,30,€ 600962 (£ 503911 $612447),€ 31250000 (£ 26203387 $31847241),,a39bb753
3,Frenkie de Jong,nl NED,MF,Barcelona,24,€ 560962 (£ 470371 $571682),€ 29170000 (£ 24459289 $29727488),,1bacc518
4,Karim Benzema,fr FRA,FW,Real Madrid,33,€ 461538 (£ 387004 $470359),€ 24000000 (£ 20124201 $24458681),,70d74ece
5,David Alaba,at AUT,DF,Real Madrid,29,€ 432692 (£ 362816 $440962),€ 22500000 (£ 18866438 $22930013),,05439de2
6,Sergio Busquets,es ESP,MF,Barcelona,33,€ 423077 (£ 354754 $431163),€ 22000000 (£ 18447184 $22420457),,5ab0ea87
7,Marcelo,br BRA,DF,Real Madrid,33,€ 421923 (£ 353786 $429987),€ 21940000 (£ 18396874 $22359311),,603116a7
8,Toni Kroos,de GER,MF,Real Madrid,31,€ 421923 (£ 353786 $429987),€ 21940000 (£ 18396874 $22359311),,6ce1f46f
9,Philippe Coutinho,br BRA,FWMF,Barcelona,29,€ 420769 (£ 352819 $428811),€ 21880000 (£ 18346563 $22298164),,0ef89a37
10,Jordi Alba,es ESP,DFFW,Barcelona,32,€ 400577 (£ 335887 $408233),€ 20830000 (£ 17466129 $21228097),,4601e194
11,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,30,€ 400577 (£ 335887 $408233),€ 20830000 (£ 17466129 $21228097),,df69b544
12,Jan Oblak,si SVN,GK,Atlético Madrid,28,€ 400000 (£ 335403 $407645),€ 20800000 (£ 17440974 $21197523),,ee8508c0
13,Ousmane Dembélé,fr FRA,FWDF,Barcelona,24,€ 384615 (£ 322503 $391966),€ 20000000 (£ 16770167 $20382234),,b19db005
14,Luka Modrić,hr CRO,MF,Real Madrid,35,€ 378654 (£ 317504 $385891),€ 19690000 (£ 16510230 $20066309),,6025fab1
15,Koke,es ESP,MF,Atlético Madrid,29,€ 307692 (£ 258003 $313573),€ 16000000 (£ 13416134 $16305787),,55126f3b
16,Luis Suárez,uy URU,FW,Atlético Madrid,34,€ 300385 (£ 251875 $306125),€ 15620000 (£ 13097501 $15918525),,a6154613
17,João Félix,pt POR,FWMF,Atlético Madrid,21,€ 280385 (£ 235105 $285743),€ 14580000 (£ 12225452 $14858649),,8aafd64f
18,Ansu Fati,es ESP,FW,Barcelona,18,€ 268269 (£ 224946 $273396),€ 13950000 (£ 11697192 $14216608),,0ba976e4
19,Ivan Rakitić,hr CRO,MF,Sevilla,33,€ 253846 (£ 212852 $258698),€ 13200000 (£ 11068310 $13452274),,89f951b5
20,Isco,es ESP,,Real Madrid,29,€ 252308 (£ 211562 $257130),€ 13120000 (£ 11001230 $13370746),,a0b4bb3e
21,Luka Jović,rs SRB,FW,Real Madrid,23,€ 240385 (£ 201565 $244979),€ 12500000 (£ 10481355 $12738896),,4d8cd038
22,Clément Lenglet,fr FRA,DF,Barcelona,26,€ 230769 (£ 193502 $235180),€ 12000000 (£ 10062100 $12229340),,4f28a6ff
23,Thibaut Courtois,be BEL,GK,Real Madrid,29,€ 227308 (£ 190599 $231652),€ 11820000 (£ 9911169 $12045900),,1840e36d
24,Daniel Parejo,es ESP,MF,Villarreal,32,€ 208269 (£ 174636 $212250),€ 10830000 (£ 9081046 $11036980),,7460ca0d
25,Gerard Piqué,es ESP,DF,Barcelona,34,€ 200385 (£ 168024 $204214),€ 10420000 (£ 8737257 $10619144),,adfc9123
26,Memphis,nl NED,FW,Barcelona,27,€ 200385 (£ 168024 $204214),€ 10420000 (£ 8737257 $10619144),,8f696594
27,Sergio Agüero,ar ARG,FW,Barcelona,33,€ 200385 (£ 168024 $204214),€ 10420000 (£ 8737257 $10619144),,4d034881
28,Casemiro,br BRA,MF,Real Madrid,29,€ 189423 (£ 158833 $193043),€ 9850000 (£ 8259307 $10038250),,4d224fe8
29,Marco Asensio,es ESP,FWMF,Real Madrid,25,€ 189038 (£ 158510 $192651),€ 9830000 (£ 8242537 $10017868),,45af8a54
30,Pedri,es ESP,MF,Barcelona,18,€ 180385 (£ 151254 $183832),€ 9380000 (£ 7865209 $9559268),Unverified estimation,0d9b2d31
31,Éder Militão,br BRA,DF,Real Madrid,23,€ 180385 (£ 151254 $183832),€ 9380000 (£ 7865209 $9559268),,2784f898
32,Ferland Mendy,fr FRA,DF,Real Madrid,26,€ 180385 (£ 151254 $183832),€ 9380000 (£ 7865209 $9559268),,3cefcaef
33,Dani Carvajal,es ESP,DF,Real Madrid,29,€ 176731 (£ 148190 $180108),€ 9190000 (£ 7705892 $9365637),,4958bfb2
34,Marc-André ter Stegen,de GER,GK,Barcelona,29,€ 173077 (£ 145126 $176385),€ 9000000 (£ 7546575 $9172005),,6f51e382
35,Lucas Vázquez,es ESP,DFFW,Real Madrid,30,€ 162308 (£ 136096 $165410),€ 8440000 (£ 7077011 $8601303),,fd51b456
36,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,€ 160192 (£ 134323 $163254),€ 8330000 (£ 6984775 $8489200),,7b9c2d84
37,Federico Valverde,uy URU,MFFW,Real Madrid,23,€ 160192 (£ 134323 $163254),€ 8330000 (£ 6984775 $8489200),Unverified estimation,0959c2a2
