,Season,Rk,Squad,Annual Wages
0,2017-18,1,Barcelona,243470000
1,2017-18,2,Real Madrid,205395000
2,2017-18,3,Atlético Madrid,98548000
3,2017-18,4,Sevilla,68581000
4,2017-18,5,Valencia,60779000
5,2017-18,6,Celta Vigo,42091000
6,2017-18,7,Real Sociedad,41515000
7,2017-18,8,Athletic Club,39557000
8,2017-18,9,Villarreal,32586000
9,2017-18,10,Espanyol,30943000
10,2017-18,11,Levante,30614000
11,2017-18,12,Málaga,24972000
12,2017-18,13,Betis,24851000
13,2017-18,14,La Coruña,21059000
14,2017-18,15,Las Palmas,19704000
15,2017-18,16,Eibar,18098000
16,2017-18,17,Alavés,15692000
17,2017-18,18,Getafe,14062000
18,2017-18,19,Girona,13554000
0,2018-19,1,Real Madrid,356200000
1,2018-19,2,Barcelona,344850000
2,2018-19,3,Atlético Madrid,165500000
3,2018-19,4,Valencia,75340000
4,2018-19,5,Sevilla,65510000
5,2018-19,6,Villarreal,59390000
6,2018-19,7,Athletic Club,48330000
7,2018-19,8,Real Sociedad,39090000
8,2018-19,9,Celta Vigo,37530000
9,2018-19,10,Betis,36220000
10,2018-19,11,Leganés,35320000
11,2018-19,12,Espanyol,33520000
12,2018-19,13,Getafe,26460000
13,2018-19,14,Alavés,24365000
14,2018-19,15,Granada,21930000
15,2018-19,16,Levante,18750000
16,2018-19,17,Eibar,18480000
17,2018-19,18,Valladolid,15090000
18,2018-19,19,Osasuna,14180000
19,2018-19,20,Mallorca,12520000
0,2019-20,1,Real Madrid,356200000
1,2019-20,2,Barcelona,344850000
2,2019-20,3,Atlético Madrid,165500000
3,2019-20,4,Valencia,75340000
4,2019-20,5,Sevilla,65510000
5,2019-20,6,Villarreal,59390000
6,2019-20,7,Athletic Club,48330000
7,2019-20,8,Real Sociedad,39090000
8,2019-20,9,Celta Vigo,37530000
9,2019-20,10,Betis,36220000
10,2019-20,11,Leganés,35320000
11,2019-20,12,Espanyol,33520000
12,2019-20,13,Getafe,26460000
13,2019-20,14,Alavés,24365000
14,2019-20,15,Granada,21930000
15,2019-20,16,Levante,18750000
16,2019-20,17,Eibar,18480000
17,2019-20,18,Valladolid,15090000
18,2019-20,19,Osasuna,14180000
19,2019-20,20,Mallorca,12520000
0,2020-21,1,Barcelona,351880000
1,2020-21,2,Real Madrid,314290000
2,2020-21,3,Atlético Madrid,170390000
3,2020-21,4,Villarreal,96570000
4,2020-21,5,Sevilla,93490000
5,2020-21,6,Valencia,75390000
6,2020-21,7,Athletic Club,72520000
7,2020-21,8,Real Sociedad,51040000
8,2020-21,9,Celta Vigo,42380000
9,2020-21,10,Betis,39540000
10,2020-21,11,Granada,27060000
11,2020-21,12,Getafe,25790000
12,2020-21,13,Osasuna,25140000
13,2020-21,14,Alavés,23410000
14,2020-21,15,Valladolid,23230000
15,2020-21,16,Cádiz,19410000
16,2020-21,17,Levante,18650000
17,2020-21,18,Eibar,18640000
18,2020-21,19,Huesca,17210000
19,2020-21,20,Elche,13505000
0,2021-22,1,Real Madrid,322590000
1,2021-22,2,Barcelona,252745000
2,2021-22,3,Atlético Madrid,167330000
3,2021-22,4,Villarreal,106060000
4,2021-22,5,Sevilla,99240000
5,2021-22,6,Valencia,68820000
6,2021-22,7,Athletic Club,64100000
7,2021-22,8,Real Sociedad,50450000
8,2021-22,9,Betis,47970000
9,2021-22,10,Celta Vigo,38380000
10,2021-22,11,Getafe,38005000
11,2021-22,12,Espanyol,29560000
12,2021-22,13,Granada,25940000
13,2021-22,14,Alavés,23675000
14,2021-22,15,Mallorca,21390000
15,2021-22,16,Cádiz,19950000
16,2021-22,17,Levante,19545000
17,2021-22,18,Elche,19315000
18,2021-22,19,Osasuna,16900000
19,2021-22,20,Rayo Vallecano,10635000
