,Season,rank,team,wins,draws,losses,goals_for,goals_against,goals_diff,points,avg_points,x_goals,x_goals_against,x_goals_diff,shots,SoT,SoT_p,cmp_pass,att_pass,cmp_pass_p,total_dist_pass,prg_dist_pass,tackles,tackles_w,d_tackles,m_tackles,a_tackles,block_s,block_p,intercepts,clearance,errors,poss,succ_dribble,att_dribble
0,2021-22,1,Real Madrid,26.0,8.0,4.0,80.0,31.0,49.0,86.0,2.26,78.9,48.2,30.7,645.0,243.0,37.7,21373.0,24517.0,87.2,355560.0,112655.0,560.0,345.0,281.0,195.0,84.0,114.0,265.0,334.0,526.0,17.0,59.9,456.0,780.0
1,2021-22,2,Barcelona,21.0,10.0,7.0,68.0,38.0,30.0,73.0,1.92,67.7,39.8,27.9,511.0,177.0,34.6,21489.0,25006.0,85.9,359280.0,114923.0,587.0,331.0,236.0,270.0,81.0,85.0,261.0,325.0,467.0,17.0,64.2,474.0,747.0
2,2021-22,3,Atlético Madrid,21.0,8.0,9.0,65.0,43.0,22.0,71.0,1.87,58.6,38.7,19.9,458.0,152.0,33.2,15076.0,19098.0,78.9,253140.0,88721.0,636.0,346.0,290.0,279.0,67.0,98.0,274.0,365.0,649.0,14.0,50.6,383.0,600.0
3,2021-22,4,Sevilla,18.0,16.0,4.0,53.0,30.0,23.0,70.0,1.84,48.4,43.3,5.1,430.0,139.0,32.3,18327.0,22234.0,82.4,341688.0,109522.0,534.0,302.0,252.0,211.0,71.0,124.0,243.0,270.0,603.0,18.0,59.4,305.0,588.0
4,2021-22,5,Betis,19.0,8.0,11.0,62.0,40.0,22.0,65.0,1.71,59.0,48.8,10.2,509.0,182.0,35.8,15702.0,19444.0,80.8,273534.0,99419.0,662.0,392.0,322.0,261.0,79.0,112.0,274.0,361.0,777.0,11.0,53.7,372.0,655.0
5,2021-22,6,Real Sociedad,17.0,11.0,10.0,40.0,37.0,3.0,62.0,1.63,57.9,44.1,13.8,430.0,143.0,33.3,15403.0,19304.0,79.8,269269.0,98192.0,586.0,339.0,271.0,234.0,81.0,105.0,277.0,348.0,703.0,6.0,54.3,360.0,670.0
6,2021-22,7,Villarreal,16.0,11.0,11.0,63.0,37.0,26.0,59.0,1.55,67.5,50.9,16.6,449.0,164.0,36.5,16679.0,20401.0,81.8,297067.0,102775.0,538.0,312.0,250.0,197.0,91.0,109.0,221.0,329.0,644.0,16.0,56.8,452.0,748.0
7,2021-22,8,Athletic Club,14.0,13.0,11.0,43.0,36.0,7.0,55.0,1.45,54.4,43.4,11.0,460.0,150.0,32.6,12947.0,17283.0,74.9,229196.0,91476.0,508.0,292.0,217.0,216.0,75.0,128.0,283.0,339.0,788.0,8.0,48.1,297.0,530.0
8,2021-22,9,Valencia,11.0,15.0,12.0,48.0,53.0,-5.0,48.0,1.26,43.6,49.0,-5.4,394.0,129.0,32.7,9627.0,13777.0,69.9,187440.0,77725.0,591.0,364.0,289.0,217.0,85.0,93.0,280.0,339.0,746.0,8.0,43.6,360.0,642.0
9,2021-22,10,Osasuna,12.0,11.0,15.0,37.0,51.0,-14.0,47.0,1.24,40.3,48.8,-8.4,425.0,114.0,26.8,11904.0,16522.0,72.0,228055.0,96276.0,577.0,331.0,270.0,236.0,71.0,115.0,225.0,368.0,758.0,5.0,46.9,261.0,467.0
10,2021-22,11,Celta Vigo,12.0,10.0,16.0,43.0,43.0,0.0,46.0,1.21,46.7,49.6,-2.8,405.0,135.0,33.3,16007.0,20591.0,77.7,286771.0,95796.0,696.0,409.0,324.0,279.0,93.0,91.0,332.0,376.0,634.0,11.0,55.2,346.0,591.0
11,2021-22,12,Rayo Vallecano,11.0,9.0,18.0,39.0,50.0,-11.0,42.0,1.11,50.2,51.9,-1.7,500.0,133.0,26.6,12747.0,16933.0,75.3,237761.0,93061.0,621.0,359.0,320.0,237.0,64.0,95.0,315.0,365.0,686.0,9.0,49.9,357.0,639.0
12,2021-22,13,Elche,11.0,9.0,18.0,40.0,52.0,-12.0,42.0,1.11,36.3,64.8,-28.6,334.0,106.0,31.7,12948.0,16836.0,76.9,237190.0,93093.0,589.0,325.0,335.0,191.0,63.0,126.0,241.0,305.0,769.0,14.0,48.4,339.0,597.0
13,2021-22,14,Espanyol,10.0,12.0,16.0,40.0,53.0,-13.0,42.0,1.11,40.4,57.0,-16.6,403.0,128.0,31.8,13360.0,16919.0,79.0,237866.0,88609.0,557.0,338.0,308.0,196.0,53.0,114.0,246.0,326.0,892.0,20.0,46.9,373.0,616.0
14,2021-22,15,Getafe,8.0,15.0,15.0,33.0,41.0,-8.0,39.0,1.03,33.4,42.2,-8.8,404.0,111.0,27.5,10278.0,14607.0,70.4,198745.0,82395.0,587.0,360.0,266.0,243.0,78.0,96.0,304.0,401.0,719.0,8.0,41.5,242.0,452.0
15,2021-22,16,Mallorca,10.0,9.0,19.0,36.0,63.0,-27.0,39.0,1.03,44.0,54.3,-10.2,440.0,131.0,29.8,11046.0,15023.0,73.5,194935.0,82006.0,607.0,332.0,301.0,235.0,71.0,119.0,255.0,344.0,826.0,9.0,45.3,368.0,612.0
16,2021-22,17,Cádiz,8.0,15.0,15.0,35.0,51.0,-16.0,39.0,1.03,45.1,55.0,-9.9,405.0,118.0,29.1,10136.0,14415.0,70.3,195586.0,77863.0,647.0,380.0,346.0,238.0,63.0,106.0,284.0,413.0,768.0,5.0,41.3,281.0,519.0
17,2021-22,18,Granada,8.0,14.0,16.0,44.0,61.0,-17.0,38.0,1.0,45.0,64.5,-19.5,421.0,131.0,31.1,10582.0,14889.0,71.1,199289.0,81840.0,611.0,343.0,310.0,240.0,61.0,130.0,307.0,326.0,841.0,8.0,44.7,270.0,495.0
18,2021-22,19,Levante,8.0,11.0,19.0,51.0,76.0,-25.0,35.0,0.92,61.2,60.9,0.3,430.0,146.0,34.0,12584.0,16422.0,76.6,226757.0,88940.0,558.0,305.0,268.0,212.0,78.0,110.0,216.0,377.0,735.0,12.0,47.2,348.0,683.0
19,2021-22,20,Alavés,8.0,7.0,23.0,31.0,65.0,-34.0,31.0,0.82,41.1,64.6,-23.4,373.0,111.0,29.8,9676.0,14175.0,68.3,191044.0,85740.0,550.0,324.0,271.0,221.0,58.0,106.0,267.0,376.0,890.0,7.0,42.0,271.0,504.0
0,2020-21,1,Atlético Madrid,26.0,8.0,4.0,67.0,25.0,42.0,86.0,2.26,52.8,37.1,15.7,452.0,178.0,39.4,16757.0,20680.0,81.0,276506.0,95005.0,622.0,367.0,291.0,253.0,78.0,83.0,278.0,386.0,671.0,7.0,52.3,374.0,588.0
1,2020-21,2,Real Madrid,25.0,9.0,4.0,67.0,28.0,39.0,84.0,2.21,61.5,37.6,23.9,544.0,167.0,30.7,20652.0,24119.0,85.6,352965.0,111432.0,531.0,318.0,266.0,188.0,77.0,83.0,261.0,398.0,544.0,12.0,59.3,429.0,646.0
2,2020-21,3,Barcelona,24.0,7.0,7.0,85.0,38.0,47.0,79.0,2.08,73.5,40.8,32.7,575.0,231.0,40.2,25192.0,28488.0,88.4,384110.0,119159.0,499.0,293.0,223.0,195.0,81.0,70.0,255.0,361.0,429.0,16.0,65.5,513.0,770.0
3,2020-21,4,Sevilla,24.0,5.0,9.0,53.0,33.0,20.0,77.0,2.03,54.4,34.8,19.6,454.0,135.0,29.7,19248.0,22873.0,84.2,342985.0,106477.0,492.0,297.0,220.0,200.0,72.0,90.0,220.0,362.0,636.0,10.0,60.9,392.0,599.0
4,2020-21,5,Real Sociedad,17.0,11.0,10.0,59.0,38.0,21.0,62.0,1.63,60.7,39.2,21.5,417.0,139.0,33.3,14915.0,18995.0,78.5,264692.0,91978.0,547.0,322.0,240.0,227.0,80.0,96.0,257.0,315.0,563.0,5.0,54.9,330.0,550.0
5,2020-21,6,Betis,17.0,10.0,11.0,50.0,50.0,0.0,61.0,1.61,49.1,46.8,2.2,432.0,145.0,33.6,15814.0,19679.0,80.4,273398.0,94327.0,556.0,315.0,274.0,221.0,61.0,74.0,288.0,453.0,687.0,11.0,53.6,420.0,638.0
