,Season,rank,team,wins,draws,losses,goals_for,goals_against,goals_diff,points,avg_points,SoT
0,2016-17,1,Real Madrid,29.0,6.0,3.0,106.0,41.0,65.0,93.0,2.45,265.0
1,2016-17,2,Barcelona,28.0,6.0,4.0,116.0,37.0,79.0,90.0,2.37,268.0
2,2016-17,3,Atlético Madrid,23.0,9.0,6.0,70.0,27.0,43.0,78.0,2.05,199.0
3,2016-17,4,Sevilla,21.0,9.0,8.0,69.0,49.0,20.0,72.0,1.89,200.0
4,2016-17,5,Villarreal,19.0,10.0,9.0,56.0,33.0,23.0,67.0,1.76,170.0
5,2016-17,6,Real Sociedad,19.0,7.0,12.0,59.0,53.0,6.0,64.0,1.68,167.0
6,2016-17,7,Athletic Club,19.0,6.0,13.0,53.0,43.0,10.0,63.0,1.66,187.0
7,2016-17,8,Espanyol,15.0,11.0,12.0,49.0,50.0,-1.0,56.0,1.47,131.0
8,2016-17,9,Alavés,14.0,13.0,11.0,41.0,43.0,-2.0,55.0,1.45,136.0
9,2016-17,10,Eibar,15.0,9.0,14.0,56.0,51.0,5.0,54.0,1.42,182.0
10,2016-17,11,Málaga,12.0,10.0,16.0,49.0,55.0,-6.0,46.0,1.21,168.0
11,2016-17,12,Valencia,13.0,7.0,18.0,56.0,65.0,-9.0,46.0,1.21,176.0
12,2016-17,13,Celta Vigo,13.0,6.0,19.0,53.0,69.0,-16.0,45.0,1.18,148.0
13,2016-17,14,Las Palmas,10.0,9.0,19.0,53.0,74.0,-21.0,39.0,1.03,182.0
14,2016-17,15,Betis,10.0,9.0,19.0,41.0,64.0,-23.0,39.0,1.03,153.0
15,2016-17,16,La Coruña,8.0,12.0,18.0,43.0,61.0,-18.0,36.0,0.95,146.0
16,2016-17,17,Leganés,8.0,11.0,19.0,36.0,55.0,-19.0,35.0,0.92,135.0
17,2016-17,18,Sporting Gijón,7.0,10.0,21.0,42.0,72.0,-30.0,31.0,0.82,135.0
18,2016-17,19,Osasuna,4.0,10.0,24.0,40.0,94.0,-54.0,22.0,0.58,147.0
19,2016-17,20,Granada,4.0,8.0,26.0,30.0,82.0,-52.0,20.0,0.53,125.0
0,2015-16,1,Barcelona,29.0,4.0,5.0,112.0,29.0,83.0,91.0,2.39,266.0
1,2015-16,2,Real Madrid,28.0,6.0,4.0,110.0,34.0,76.0,90.0,2.37,289.0
2,2015-16,3,Atlético Madrid,28.0,4.0,6.0,63.0,18.0,45.0,88.0,2.32,166.0
3,2015-16,4,Villarreal,18.0,10.0,10.0,44.0,35.0,9.0,64.0,1.68,133.0
4,2015-16,5,Athletic Club,18.0,8.0,12.0,58.0,45.0,13.0,62.0,1.63,163.0
5,2015-16,6,Celta Vigo,17.0,9.0,12.0,51.0,59.0,-8.0,60.0,1.58,155.0
6,2015-16,7,Sevilla,14.0,10.0,14.0,51.0,50.0,1.0,52.0,1.37,182.0
7,2015-16,8,Málaga,12.0,12.0,14.0,38.0,35.0,3.0,48.0,1.26,167.0
8,2015-16,9,Real Sociedad,13.0,9.0,16.0,45.0,48.0,-3.0,48.0,1.26,157.0
