,Unnamed: 0,team,Season,expenditure
0,19,Athletic Club,2021-22,0.0
1,18,Levante,2021-22,875000.0
2,17,Alavés,2021-22,1150000.0
3,16,Real Sociedad,2021-22,2500000.0
4,15,Betis,2021-22,3500000.0
5,14,Rayo Vallecano,2021-22,4300000.0
6,13,Espanyol,2021-22,6000000.0
7,12,Cádiz,2021-22,6100000.0
8,11,Elche,2021-22,8199999.999999999
9,10,Osasuna,2021-22,8700000.0
10,9,Mallorca,2021-22,10000000.0
11,8,Celta Vigo,2021-22,10020000.0
12,7,Valencia,2021-22,13350000.0
13,6,Getafe,2021-22,16000000.0
14,5,Granada,2021-22,17450000.0
15,4,Real Madrid,2021-22,31000000.0
16,3,Sevilla,2021-22,41500000.0
17,2,Villarreal,2021-22,54500000.0
18,1,Barcelona,2021-22,69500000.0
19,0,Atlético Madrid,2021-22,76700000.0
20,19,Alavés,2020-21,0.0
21,17,Betis,2020-21,0.0
22,18,Real Madrid,2020-21,0.0
23,16,Valencia,2020-21,50000.0
24,15,Eibar,2020-21,2000000.0
25,14,Celta Vigo,2020-21,3000000.0
26,13,Levante,2020-21,4000000.0
27,12,Huesca,2020-21,4650000.0
28,11,Elche,2020-21,6100000.0
29,10,Osasuna,2020-21,9150000.0
30,9,Valladolid,2020-21,9850000.0
31,8,Real Sociedad,2020-21,10000000.0
32,7,Cádiz,2020-21,10100000.0
33,6,Athletic Club,2020-21,12000000.0
34,5,Granada,2020-21,20500000.0
35,4,Getafe,2020-21,22050000.0
36,3,Villarreal,2020-21,36500000.0
37,2,Sevilla,2020-21,72750000.0
38,1,Atlético Madrid,2020-21,91000000.0
39,0,Barcelona,2020-21,112000000.0
40,19,Athletic Club,2019-20,0.0
41,18,Valladolid,2019-20,1400000.0
42,17,Mallorca,2019-20,7500000.0
43,16,Granada,2019-20,11240000.0
44,15,Alavés,2019-20,11770000.0
45,14,Osasuna,2019-20,14450000.0
46,13,Levante,2019-20,14600000.0
47,12,Leganés,2019-20,16450000.0
48,11,Eibar,2019-20,17300000.0
49,10,Getafe,2019-20,21500000.0
50,9,Celta Vigo,2019-20,24600000.0
51,8,Real Sociedad,2019-20,31750000.0
52,7,Villarreal,2019-20,43800000.0
53,6,Espanyol,2019-20,61500000.0
54,5,Valencia,2019-20,75000000.0
55,4,Betis,2019-20,93750000.0
56,3,Sevilla,2019-20,188730000.0
57,2,Atlético Madrid,2019-20,247350000.0
58,1,Barcelona,2019-20,298500000.0
59,0,Real Madrid,2019-20,355500000.0
60,19,Eibar,2018-19,8000000.0
61,18,Huesca,2018-19,9300000.0
62,17,Alavés,2018-19,10000000.0
63,16,Valladolid,2018-19,10100000.0
64,15,Girona,2018-19,10200000.0
65,14,Real Sociedad,2018-19,12000000.0
66,13,Rayo Vallecano,2018-19,12300000.0
67,12,Leganés,2018-19,18900000.0
68,11,Espanyol,2018-19,22100000.0
69,10,Levante,2018-19,26700000.0
70,9,Getafe,2018-19,27250000.0
71,8,Celta Vigo,2018-19,30000000.0
72,7,Athletic Club,2018-19,32900000.0
73,6,Betis,2018-19,44500000.0
74,5,Sevilla,2018-19,81050000.0
75,4,Villarreal,2018-19,92900000.0
76,3,Valencia,2018-19,129200000.0
77,2,Barcelona,2018-19,141100000.0
78,1,Real Madrid,2018-19,164750000.0
79,0,Atlético Madrid,2018-19,168000000.0
80,19,Las Palmas,2017-18,350000.0
81,18,Leganés,2017-18,6550000.0
82,17,Girona,2017-18,8750000.0
83,16,La Coruña,2017-18,9500000.0
84,15,Levante,2017-18,10000000.0
85,14,Eibar,2017-18,10250000.0
86,13,Málaga,2017-18,10500000.0
87,12,Alavés,2017-18,12330000.0
88,11,Getafe,2017-18,12900000.0
89,10,Espanyol,2017-18,17050000.0
90,9,Real Sociedad,2017-18,25500000.0
91,8,Celta Vigo,2017-18,26800000.0
92,7,Athletic Club,2017-18,32000000.0
93,6,Betis,2017-18,38500000.0
94,5,Real Madrid,2017-18,40500000.0
95,4,Villarreal,2017-18,46100000.0
96,3,Valencia,2017-18,55000000.0
97,2,Sevilla,2017-18,78050000.0
98,1,Atlético Madrid,2017-18,95600000.0
99,0,Barcelona,2017-18,380100000.0
100,19,Athletic Club,2016-17,0.0
101,18,Sporting Gijón,2016-17,1000000.0
102,17,Osasuna,2016-17,2200000.0
103,16,Las Palmas,2016-17,2900000.0
104,15,Leganés,2016-17,5450000.0
105,14,Alavés,2016-17,6330000.0
106,13,La Coruña,2016-17,7000000.0
107,12,Celta Vigo,2016-17,8400000.0
108,11,Eibar,2016-17,8600000.0
109,10,Granada,2016-17,11580000.0
110,9,Málaga,2016-17,12540000.0
111,8,Real Sociedad,2016-17,18000000.0
112,7,Espanyol,2016-17,18400000.0
113,6,Betis,2016-17,20900000.0
114,5,Real Madrid,2016-17,30000000.0
115,4,Valencia,2016-17,36000000.0
116,3,Villarreal,2016-17,55950000.0
117,2,Atlético Madrid,2016-17,78800000.0
118,1,Sevilla,2016-17,81700000.0
119,0,Barcelona,2016-17,124750000.0
120,19,Sporting Gijón,2015-16,0.0
121,18,Getafe,2015-16,270000.0
122,17,Rayo Vallecano,2015-16,400000.0
123,16,Eibar,2015-16,3700000.0
124,15,Granada,2015-16,3850000.0
125,14,Espanyol,2015-16,4450000.0
126,13,Las Palmas,2015-16,6400000.0
127,12,Levante,2015-16,6550000.0
128,11,La Coruña,2015-16,8000000.0
129,10,Málaga,2015-16,8650000.0
130,9,Betis,2015-16,8850000.0
131,8,Athletic Club,2015-16,10000000.0
132,7,Celta Vigo,2015-16,16300000.0
133,6,Real Sociedad,2015-16,26100000.0
134,5,Sevilla,2015-16,44000000.0
135,4,Villarreal,2015-16,47200000.0
136,3,Barcelona,2015-16,51000000.0
137,2,Real Madrid,2015-16,92900000.0
138,1,Atlético Madrid,2015-16,119000000.0
139,0,Valencia,2015-16,143900000.0
140,19,Getafe,2014-15,0.0
141,18,Almería,2014-15,0.0
142,17,Eibar,2014-15,162000.0
143,16,Rayo Vallecano,2014-15,500000.0
144,15,Córdoba,2014-15,750000.0
145,14,Levante,2014-15,800000.0
146,13,Athletic Club,2014-15,1000000.0
147,12,Elche,2014-15,1350000.0
148,11,La Coruña,2014-15,1400000.0
149,10,Málaga,2014-15,1500000.0
150,9,Espanyol,2014-15,2500000.0
151,8,Celta Vigo,2014-15,3900000.0
152,7,Granada,2014-15,7920000.0
153,6,Real Sociedad,2014-15,12000000.0
154,5,Villarreal,2014-15,18700000.0
155,4,Sevilla,2014-15,20950000.0
156,3,Valencia,2014-15,55050000.0
157,2,Atlético Madrid,2014-15,120350000.0
158,1,Real Madrid,2014-15,126000000.0
